Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Prediction Time (s)
Logistic Regression,0.8081023454157783,0.6899696048632219,0.5746835443037974,0.6270718232044199,0.8615099814879672,0.1605,0.002
Decision Tree,0.8095238095238095,0.7470817120622568,0.4860759493670886,0.588957055214724,0.8493896032421073,0.0322,0.0039
Random Forest,0.8073916133617626,0.7039473684210527,0.5417721518987342,0.6123032904148784,0.8490668934807625,0.5738,0.0207
Support Vector Machine,0.8017057569296375,0.7478632478632479,0.4430379746835443,0.5564387917329093,0.8265272427077601,5.617,0.4569
Deep Neural Network,0.806680881307747,0.6782608695652174,0.5924050632911393,0.6324324324324324,0.8597913643868514,9.8424,0.2643
